Mount Kinabalu gazetteer arranged alphabetically by place name Ð based on features shown on the Kinabalu location map,,,,,
Draft: 29 August 2005,,,,,
,,,,,
,,,,,
,Feature,,,,
Mt. Nungkek,peak,"6¡5'55.03""N","116¡28'46.69""E",6.09862,116.47964
Kg. Pahu,pp,"5¡57'33.68""N","116¡38'13.19""E",5.95935,116.637
Kg. Pahu,pp,"6¡8'16.09""N","116¡46'23.12""E",6.1378,116.77309
Paka-paka Cave,poi,"6¡3'17.94""N","116¡33'38.57""E",6.05498,116.56071
Palangke R.,river,"6¡6'47.66""N","116¡28'54.22""E",6.11324,116.48173
Paluan R.,river,"6¡4'18.95""N","116¡27'17.40""E",6.07193,116.45483
Paluan R.,river,"6¡7'36.77""N","116¡26'44.62""E",6.12688,116.44573
Palutagate R.,river,"6¡16'58.01""N","116¡40'47.37""E",6.28278,116.67982
Panar Laban,poi,"6¡3'35.10""N","116¡33'48.23""E",6.05975,116.5634
Pangakatan R.,river,"6¡0'43.51""N","116¡45'54.23""E",6.01209,116.76506
Pangasaan R.,river,"6¡0'55.77""N","116¡25'40.32""E",6.01549,116.42787
Paramat R.,river,"6¡9'48.77""N","116¡30'16.54""E",6.16355,116.5046
Paramat R.,river,"6¡10'7.91""N","116¡28'8.54""E",6.16886,116.46904
Park Headquarters,poi,"6¡0'27.22""N","116¡32'22.85""E",6.00756,116.53968
Pekan Kundasang,pp,"5¡59'13.89""N","116¡34'22.01""E",5.98719,116.57278
Pekan Nabalu,pp,"6¡1'55.10""N","116¡27'17.44""E",6.03197,116.45484
Pemeitan R.,river,"6¡14'38.30""N","116¡43'20.68""E",6.24397,116.72241
Penataran R.,river,"6¡6'46.63""N","116¡32'30.93""E",6.11295,116.54192
Penataran R.,river,"6¡10'9.11""N","116¡27'9.70""E",6.1692,116.4527
Pendilaien R.,river,"6¡10'53.36""N","116¡46'26.28""E",6.18149,116.77397
Pendiruen R.,river,"6¡9'51.64""N","116¡44'3.29""E",6.16434,116.73425
Penebuan R.,river,"6¡5'40.72""N","116¡27'15.96""E",6.09464,116.45443
Penehuan R.,river,"6¡14'56.05""N","116¡32'3.78""E",6.2489,116.53438
Pengehunan R.,river,"6¡1'46.67""N","116¡43'3.24""E",6.02963,116.71757
Penibukan (Peniguppan) Ridge,poi,"6¡4'25.14""N","116¡30'34.83""E",6.07365,116.50968
Penibukan (Peniguppan) Ridge,ridge,"6¡4'20.20""N","116¡30'43.99""E",6.07228,116.51222
Peninsayahan R.,river,"6¡3'52.33""N","116¡42'8.21""E",6.06454,116.70228
Peregiung R.,river,"6¡17'51.05""N","116¡35'7.25""E",6.29752,116.58535
Pig Hill,peak,"6¡3'2.68""N","116¡36'45.41""E",6.05075,116.61261
Pinangkakaian Hill,peak,"6¡6'48.21""N","116¡45'34.38""E",6.11339,116.75955
Kg. Pinawantai,pp,"6¡10'1.53""N","116¡46'39.69""E",6.16709,116.77769
Pinintagadan R.,river,"6¡0'35.24""N","116¡34'46.21""E",6.00979,116.5795
Kg. Pinosuk,pp,"5¡58'15.73""N","116¡35'55.29""E",5.97104,116.59869
Pinosuk Plateau,poi,"6¡1'30.87""N","116¡36'22.65""E",6.02524,116.60629
Kg. Podas,pp,"6¡13'27.96""N","116¡29'1.60""E",6.22443,116.48378
Pomorian R.,river,"6¡1'7.77""N","116¡25'28.65""E",6.01883,116.42462
Poring Hot Springs,pp,"6¡2'50.86""N","116¡42'4.84""E",6.04746,116.70135
Poring Station,poi,"6¡2'50.11""N","116¡41'56.43""E",6.04725,116.69901
Kg. Poropok,pp,"6¡2'29.57""N","116¡27'7.44""E",6.04155,116.45207
Power Station,poi,"6¡1'49.09""N","116¡32'39.38""E",6.0303,116.54427
Purak Agis Hill,peak,"6¡10'34.47""N","116¡37'36.95""E",6.17624,116.62693
Kg. Purak Ogis,pp,"6¡9'36.35""N","116¡26'42.64""E",6.1601,116.44518
Purapang R.,river,"6¡1'57.90""N","116¡26'34.55""E",6.03275,116.44293
Radap R.,river,"5¡58'21.25""N","116¡41'50.55""E",5.97257,116.69738
Kg. Ragang Tanah,pp,"5¡58'59.46""N","116¡41'12.88""E",5.98318,116.68691
Ranau,pp,"5¡57'15.64""N","116¡39'38.00""E",5.95434,116.66056
Rengiten R.,river,"6¡5'22.27""N","116¡30'27.74""E",6.08952,116.5077
Rugading R.,river,"6¡3'14.60""N","116¡42'25.63""E",6.05406,116.70712
Rugeur R.,river,"6¡3'43.19""N","116¡30'5.95""E",6.062,116.50165
Rumalau R.,river,"6¡17'52.88""N","116¡32'58.48""E",6.29802,116.54958
Rumalau R.,river,"6¡17'34.97""N","116¡34'46.76""E",6.29305,116.57965
Samun-samun R.,river,"5¡58'23.30""N","116¡32'9.68""E",5.97314,116.53602
Sansaraben R.,river,"6¡1'24.85""N","116¡30'54.31""E",6.02357,116.51509
Sapil R.,river,"6¡3'43.43""N","116¡26'55.81""E",6.06206,116.44883
Sasapan R.,river,"6¡7'46.05""N","116¡45'44.99""E",6.12946,116.7625
Kg. Sayap,pp,"6¡12'22.29""N","116¡33'15.55""E",6.20619,116.55432
Sayap Station,poi,"6¡9'55.14""N","116¡33'46.00""E",6.16532,116.56278
Sayat-sayat,poi,"6¡4'4.38""N","116¡33'39.99""E",6.06788,116.56111
Kg. Serinsim,pp,"6¡17'43.26""N","116¡42'33.21""E",6.29535,116.70923
Serinsim R.,river,"6¡17'19.27""N","116¡42'26.23""E",6.28869,116.70729
Serinsim R. (left branch),river,"6¡14'41.71""N","116¡42'8.04""E",6.24492,116.70223
Serinsim R. (right branch),river,"6¡15'15.23""N","116¡41'49.19""E",6.25423,116.697
Serinsim Station,poi,"6¡17'39.75""N","116¡42'15.35""E",6.29438,116.70426
Sesediken R.,river,"6¡0'49.90""N","116¡35'8.87""E",6.01386,116.5858
Sesediken R.,river,"6¡3'42.27""N","116¡29'50.92""E",6.06174,116.49748
Sesediken R.,river,"6¡5'24.15""N","116¡31'23.43""E",6.09004,116.52317
Shangri La Valley,poi,"6¡4'43.53""N","116¡35'43.04""E",6.07876,116.59529
Sheila's Plateau,poi,"6¡4'14.63""N","116¡36'0.01""E",6.07073,116.6
Kg. Silau,pp,"5¡55'59.23""N","116¡39'58.37""E",5.93312,116.66621
Silau-silau R.,river,"6¡4'55.78""N","116¡27'32.98""E",6.08216,116.45916
Silau-silau R.,river,"6¡0'30.45""N","116¡32'32.74""E",6.00846,116.54243
Silau-Silau R.,river,"5¡59'47.64""N","116¡35'59.54""E",5.99657,116.59987
Sileu R.,river,"6¡4'28.06""N","116¡41'42.32""E",6.07446,116.69509
Sileu-Sileu R.,river,"6¡4'48.67""N","116¡41'54.72""E",6.08019,116.69853
Simbulon R.,river,"5¡58'34.42""N","116¡31'17.85""E",5.97623,116.52163
Sinanggakan R.,river,"6¡4'3.14""N","116¡42'2.62""E",6.06754,116.70073
Singawan R.,river,"6¡13'15.95""N","116¡28'17.65""E",6.2211,116.47157
Singgaran,poi,"6¡1'7.37""N","116¡27'59.38""E",6.01871,116.4665
Sinungara R.,river,"6¡8'59.95""N","116¡26'20.65""E",6.14999,116.43907
Soligau Ridge,ridge,"6¡13'0.64""N","116¡36'41.41""E",6.21684,116.6115
Sosopodon,poi,"5¡59'7.95""N","116¡33'41.85""E",5.98554,116.56162
South Peak,peak,"6¡4'4.21""N","116¡33'29.36""E",6.06784,116.55816
St. John's Peak,peak,"6¡4'26.54""N","116¡33'17.53""E",6.07404,116.55487
Suleken R.,river,"6¡12'35.63""N","116¡46'8.08""E",6.2099,116.76891
Sumaang R.,river,"5¡56'25.52""N","116¡39'4.73""E",5.94042,116.65131
Sungei R.,river,"5¡59'42.07""N","116¡32'3.28""E",5.99502,116.53424
Sunsuyan R.,river,"6¡9'46.76""N","116¡37'48.58""E",6.16299,116.63016
Surubuan R.,river,"6¡3'52.88""N","116¡26'58.69""E",6.06469,116.44964
Taapadan R.,river,"6¡9'12.48""N","116¡26'22.35""E",6.15347,116.43954
Tabawen R.,river,"6¡11'44.13""N","116¡33'53.34""E",6.19559,116.56482
Tagaas R.,river,"6¡6'46.78""N","116¡41'56.71""E",6.113,116.69909
Tagahas R.,river,"6¡0'9.14""N","116¡36'56.48""E",6.00254,116.61569
Kg. Taginambur,pp,"6¡13'43.79""N","116¡26'51.91""E",6.22883,116.44775
Tahubang Falls,poi,"6¡3'57.24""N","116¡31'8.60""E",6.0659,116.51906
Tahubang R.,river,"6¡3'36.58""N","116¡29'35.48""E",6.06016,116.49319
Tahubang R.,river,"6¡4'3.80""N","116¡31'53.40""E",6.06772,116.5315
Tahubang R.,river,"6¡3'59.47""N","116¡27'48.82""E",6.06652,116.46356
Tahubon R.,river,"5¡55'25.50""N","116¡40'56.17""E",5.92375,116.68227
Takurik R.,river,"5¡58'15.48""N","116¡39'40.68""E",5.97097,116.6613
Kg. Takutan,pp,"6¡5'24.68""N","116¡46'6.42""E",6.09019,116.76845
Talahanas R.,river,"6¡4'16.64""N","116¡31'37.13""E",6.07129,116.52698
Kg. Talungan,pp,"6¡15'53.45""N","116¡31'31.50""E",6.26485,116.52542
Kg. Tamalung,pp,"5¡58'5.27""N","116¡37'42.41""E",5.96813,116.62845
Tananansad R.,river,"6¡2'57.77""N","116¡41'46.88""E",6.04938,116.69635
Tandahaon R.,river,"5¡57'8.58""N","116¡40'12.04""E",5.95238,116.67001
Tangal R.,river,"6¡15'19.04""N","116¡42'37.82""E",6.25529,116.7105
Taparak R.,river,"6¡3'41.34""N","116¡29'13.93""E",6.06148,116.4872
Tapasasa R.,river,"6¡0'42.48""N","116¡34'30.87""E",6.0118,116.57524
Taraas R.,river,"6¡1'13.24""N","116¡43'47.61""E",6.02035,116.72989
Taradaat R.,river,"6¡4'2.77""N","116¡31'10.08""E",6.06744,116.51947
Tararasak R.,river,"6¡16'38.11""N","116¡38'24.93""E",6.27725,116.64026
Tawaras R.,river,"5¡59'36.69""N","116¡36'44.82""E",5.99353,116.61245
Tawaras R.,river,"5¡57'38.49""N","116¡38'5.37""E",5.96069,116.63483
Tawaras Teki R.,river,"5¡58'52.92""N","116¡37'37.17""E",5.98137,116.62699
Tawei-Raan R.,river,"6¡9'58.51""N","116¡33'16.09""E",6.16625,116.55447
Teberus R.,river,"6¡12'24.46""N","116¡35'10.62""E",6.20679,116.58628
Tegiu R.,river,"6¡5'39.92""N","116¡45'21.91""E",6.09442,116.75609
Tehubang R.,river,"6¡16'24.26""N","116¡42'9.93""E",6.27341,116.70276
Telidusen R.,river,"6¡16'44.04""N","116¡43'47.30""E",6.2789,116.7298
Kg. Tembatuon,pp,"6¡7'18.28""N","116¡27'9.93""E",6.12174,116.45276
Mt. Tembuyuken,peak,"6¡12'18.92""N","116¡39'23.68""E",6.20526,116.65658
Tengabil R.,river,"6¡5'47.50""N","116¡27'40.55""E",6.09653,116.46126
Tengabil Ridge,ridge,"6¡5'35.52""N","116¡28'18.43""E",6.0932,116.47179
Tenompok,poi,"6¡0'16.55""N","116¡31'34.25""E",6.0046,116.52618
Tenompok Ridge,ridge,"6¡0'19.56""N","116¡30'32.96""E",6.00543,116.50916
Tenteluen R.,river,"6¡11'41.24""N","116¡46'12.04""E",6.19479,116.77001
Terili R.,river,"6¡3'54.11""N","116¡30'39.90""E",6.06503,116.51108
Kg. Terintidon,pp,"6¡14'35.55""N","116¡32'16.90""E",6.24321,116.53803
Terintidon R.,river,"6¡14'6.37""N","116¡32'5.24""E",6.2351,116.53479
Teruntungen R.,river,"6¡11'16.04""N","116¡46'37.45""E",6.18779,116.77707
Tetueng R.,river,"6¡2'57.95""N","116¡42'57.85""E",6.04943,116.71607
Mt. Tibabar,peak,"6¡2'2.00""N","116¡32'36.85""E",6.03389,116.54357
Tibabar Falls,poi,"6¡1'56.00""N","116¡32'39.83""E",6.03222,116.5444
Tibabar R.,river,"5¡58'50.81""N","116¡31'10.36""E",5.98078,116.51955
Timbolung R.,river,"6¡6'59.53""N","116¡44'25.10""E",6.11653,116.74031
Timpohon Gate,poi,"6¡1'51.35""N","116¡32'39.53""E",6.03093,116.54431
Tinandukan R.,river,"6¡16'51.55""N","116¡43'28.54""E",6.28099,116.72459
Tinangoh Tagayo R.,river,"6¡6'35.31""N","116¡44'10.57""E",6.10981,116.73627
Kg. Tinata,pp,"6¡11'42.99""N","116¡28'7.97""E",6.19527,116.46888
Tinata R.,river,"6¡11'41.74""N","116¡28'31.50""E",6.19493,116.47542
Kg. Tindaken,pp,"6¡17'35.98""N","116¡33'36.22""E",6.29333,116.56006
Tinekuk Falls,poi,"6¡3'21.87""N","116¡31'34.79""E",6.05607,116.52633
Tinekuk R.,river,"6¡3'30.23""N","116¡29'1.39""E",6.0584,116.48372
Tinggenguken Hill,peak,"6¡10'9.67""N","116¡41'30.12""E",6.16935,116.6917
Tinibasan R.,river,"6¡6'36.13""N","116¡27'18.06""E",6.11004,116.45502
Tinokok R.,river,"6¡0'8.24""N","116¡31'15.48""E",6.00229,116.52097
Tinuman R.,river,"6¡13'6.40""N","116¡32'50.55""E",6.21844,116.54738
Tinuman Sarago R.,river,"5¡56'20.44""N","116¡33'30.45""E",5.93901,116.55846
Tipud R.,river,"6¡7'7.22""N","116¡27'20.23""E",6.11867,116.45562
Tobihi   R.,river,"5¡58'17.42""N","116¡41'22.19""E",5.9715,116.6895
Todiba Titiu R.,river,"6¡4'8.20""N","116¡31'41.68""E",6.06894,116.52825
Kg. Togis,pp,"6¡3'58.59""N","116¡46'24.42""E",6.06627,116.77345
Tohukad R.,river,"5¡57'31.25""N","116¡34'2.64""E",5.95868,116.5674
Toindik R.,river,"6¡1'27.07""N","116¡25'57.54""E",6.02419,116.43265
Tolong R.,river,"6¡0'49.62""N","116¡29'19.90""E",6.01378,116.48886
Tolong R.,river,"6¡4'20.00""N","116¡26'50.59""E",6.07222,116.44739
Tomas R.,river,"6¡17'28.75""N","116¡42'11.25""E",6.29132,116.70313
Kg. Tomis,pp,"5¡59'57.30""N","116¡28'40.53""E",5.99925,116.47793
Tongoludon R.,river,"5¡55'59.38""N","116¡33'46.07""E",5.93316,116.5628
Tudan R.,river,"6¡0'35.97""N","116¡27'18.11""E",6.00999,116.45503
Kg. Tudangan,pp,"5¡58'16.16""N","116¡41'39.46""E",5.97116,116.69429
Tuhan R.,river,"5¡58'23.72""N","116¡31'40.72""E",5.97326,116.52798
Tulep River,river,"5¡59'15.09""N","116¡31'11.32""E",5.98752,116.51981
Tulid R.,river,"6¡2'3.93""N","116¡26'31.44""E",6.03443,116.44207
Tumbalun R.,river,"6¡8'15.35""N","116¡27'32.44""E",6.1376,116.45901
Tunku Abdul Rahman Peak,peak,"6¡4'11.60""N","116¡34'6.50""E",6.06989,116.56847
Tutukadan R.,river,"6¡5'37.85""N","116¡39'41.58""E",6.09385,116.66155
Ular Hill,peak,"6¡1'43.94""N","116¡32'38.25""E",6.02887,116.54396
Victoria Peak,peak,"6¡4'51.69""N","116¡33'11.27""E",6.08102,116.55313
Waig Minatai R.,river,"6¡9'47.92""N","116¡28'13.59""E",6.16331,116.47044
Wariu R.,river,"6¡12'35.52""N","116¡33'43.03""E",6.20987,116.56195
Wariu R.,river,"6¡17'52.65""N","116¡31'2.48""E",6.29796,116.51735
Watur R.,river,"6¡2'59.37""N","116¡30'48.73""E",6.04982,116.51354
West Mesilau R.,river,"6¡1'21.07""N","116¡35'30.18""E",6.02252,116.59172
,,,,,
